['1671', 'ATP Biomed CL 2 Rm 225', 'C81.225']
['1669', 'ATP Biomed CL 3 Rm 226', 'C81.226']
['1673', 'ATP Biomed CL 4 Rm 227', 'C81.227']
['1506', 'ATP Biomed CL 5 Rm 228', 'C81.228']
['1672', 'ATP Biomed Clean Lab 240', 'C81.240']
['1563', 'ATP Biomed Clean Lab 354', 'C81.354']
['1300', 'ATP Biomed Clean Lab 435', 'C81.435']
['1261', 'ATP Biomed Comp Lab 120', 'C81.120']
['1284', 'ATP Biomed Conf Rm 119', 'C81.119']
['1566', 'ATP Biomed Lab 127', 'C81.127']
['1565', 'ATP Biomed PC2 Lab 373', 'C81.373']
['1557', 'ATP Biomed PC2 Lab 438', 'C81.438']
['1299', 'ATP Biomed Plant Lab 350', 'C81.350']
['1555', 'ATP Biomed Wet Lab 134', 'C81.134']
['1909', 'ATP Food Science Lab 233', 'C81.233']
['131', 'Badham 141 Tut Room 1', 'A16.141']
['108', 'Badham 145 Tut Room 2', 'A16.145']
['359', 'Badham Lab 222A', 'A16.222A']
['1155', 'Badham Lab 222B', 'A16.222B']
['644', 'Badham Lab 227', 'A16.227']
['1502', 'Badham Room 149A/B/C', 'A16.149']
['742', 'B Block B020', 'C43B.B020']
['763', 'B Block B023', 'C43B.B023']
['764', 'B Block B024', 'C43B.B024']
['747', 'B Block B030', 'C43B.B030']
['778', 'B Block B112', 'C43B.B112']
['779', 'B Block B113', 'C43B.B113']
['788', 'B Block B Foyer', 'BFOYER']
['762', 'B Block Learn Studio B022', 'C43B.B021-022']
['561', 'Bennett Laboratory N209', 'J11.N209']
['1346', 'Biochemistry Comp Lab 304', 'G08.304']
['1345', 'Biochemistry Comp Lab 375', 'G08.375']
['1342', 'Biochemistry Comp Lab 376', 'G08.376']
['1344', 'Biochemistry Comp Lab 403', 'G08.403']
['1343', 'Biochemistry Comp Lab 409', 'G08.409']
['1652', 'Biochemistry Lab 379', 'G08.379']
['71', 'Biochemistry Lect Rm 471', 'G08.471']
['370', 'Biochem/Microbiol 542 Lab', 'G08.542']
['1854', 'Biomech Lab K123 ESS/EP', 'C43.K123']
['1610', 'Biomedical Room 355', 'C81.355']
['1078', 'Biomedical Science Labs', 'C43L.L000']
['474', 'Blank', 'BLANK']
['277', 'Bosch 192', 'D04.192']
['1152', 'Bosch BBQ', 'D04.BBQ1']
['10', 'Bosch Lecture Theatre 1', 'D04.194']
['9', 'Bosch Lecture Theatre 2', 'D04.191']
['1923', 'Bren Learning Hub Veranda', 'A18.306']
['1723', 'Bren Learning Studio 108', 'A18.108']
['1724', 'Bren Learning Studio 109', 'A18.109']
['1725', 'Bren Learning Studio 110', 'A18.110']
['1727', 'Bren Learning Studio 120', 'A18.120']
['1726', 'Bren Learn Studio 112-116', 'A18.112']
['1922', 'Brennan Learning Hub 202', 'A18.202']
['1387', 'Brick Laboratory Room 101', 'C30L.101']
['1280', 'Camden Access Centre 105', 'C01E.105']
['1749', 'Camden Annison Board Room', 'C01A.N112']
['1241', 'Camden Campus', 'CAMDEN']
['1684', 'Camden CCWF Conf Room 305', 'C02F.305']
['1887', 'Camden Corstorphine Farm', 'C07']
['1993', 'Camden CSC Rm 102', 'C15.102']
['1917', 'Camden De-Sexing Clinic', 'C01D.101']
['1256', 'Camden GTB LR 103', 'C01E.103']
['1255', 'Camden GTB LR 104', 'C01E.104']
['1257', 'Camden GTB LR 106A', 'C01E.106A']
['1258', 'Camden GTB LR 106B', 'C01E.106B']
['1918', 'Camden Horse Clinic', 'C30G']
['1890', 'Camden John Pye Farm', 'F2']
['1254', 'Camden - Liz Kernohan LT', 'C01G.101']
['1628', 'Camden MayFarm Cattle Hnd', 'C03.C03C']
['1888', 'Camden Mt Hunter Farm', 'E']
['1621', 'Camden Practical Lab 118', 'C55C.118']
['1619', 'Camden Practical Lab 120', 'C55C.120']
['1622', 'Camden Practical Lab 121', 'C55C.121']
