['IBUS6002 - Cross-Cultural Management (Session 2)', ': Thu 06 Sep 2018', 'Thu 06 Sep 2018', ': 14:00', ': 14:00', 'Once Only']
['ECOP1003 - International Economy and Finance (Session 2)', ': Thu 27 Sep 2018', 'Thu 27 Sep 2018', ': 14:00', ': 14:00', 'Once Only']
['ECON1006 - The Economics of Everything (Session 2)', ': Fri 03 Aug 2018', 'Fri 02 Nov 2018', ': 14:00', ': 14:00', 'Weekly']
['INFO1110 - Introduction to Programming (Session 2)', ': Mon 30 Jul 2018', 'Mon 29 Oct 2018', ': 15:00', ': 15:00', 'Weekly']
['BUSS1000 - Future of Business (Session 2)', ': Tue 31 Jul 2018', 'Tue 30 Oct 2018', ': 15:00', ': 15:00', 'Weekly']
['FINC3013 - Mergers and Acquisitions (Session 2)', ': Wed 01 Aug 2018', 'Wed 31 Oct 2018', ': 15:00', ': 15:00', 'Weekly']
['COMP2022 - Programming Languages, Logic and Models (Session 2)', ': Thu 02 Aug 2018', 'Thu 01 Nov 2018', ': 15:00', ': 15:00', 'Weekly']
['ECOP1003 - International Economy and Finance (Session 2)', ': Thu 27 Sep 2018', 'Thu 27 Sep 2018', ': 14:00', ': 14:00', 'Once Only']
['INFO1113 - Object-Oriented Programming (Session 2)', ': Mon 30 Jul 2018', 'Mon 29 Oct 2018', ': 16:00', ': 16:00', 'Weekly']
['BUSS1000 - Future of Business (Session 2)', ': Tue 31 Jul 2018', 'Tue 30 Oct 2018', ': 15:00', ': 15:00', 'Weekly']
['COMP2022 - Programming Languages, Logic and Models (Session 2)', ': Thu 02 Aug 2018', 'Thu 01 Nov 2018', ': 15:00', ': 15:00', 'Weekly']
['ENGG1802 - Engineering Mechanics (Session 2)', ': Fri 24 Aug 2018', 'Fri 24 Aug 2018', ': 16:00', ': 16:00', 'Once Only']
['QBUS5001 - Quantitative Methods for Business (Session 2)', ': Tue 02 Oct 2018', 'Tue 02 Oct 2018', ': 16:30', ': 16:30', 'Once Only']
['BUSS5100 - Communicating in Business A (Session 2)', ': Mon 30 Jul 2018', 'Mon 30 Jul 2018', ': 17:00', ': 17:00', 'Once Only']
['BUSS5100 - Communicating in Business A (Session 2)', ': Mon 06 Aug 2018', 'Mon 06 Aug 2018', ': 17:00', ': 17:00', 'Once Only']
['BUSS5100 - Communicating in Business A (Session 2)', ': Tue 07 Aug 2018', 'Tue 07 Aug 2018', ': 17:00', ': 17:00', 'Once Only']
['FINC6015 - Trading in Securities Markets (Session 2)', ': Tue 11 Sep 2018', 'Tue 11 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['INFS5002 - Digital Business Foundations (Session 2)', ': Tue 18 Sep 2018', 'Tue 18 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['QBUS5001 - Quantitative Methods for Business (Session 2)', ': Tue 02 Oct 2018', 'Tue 02 Oct 2018', ': 16:30', ': 16:30', 'Once Only']
['QBUS6810 - Statistical Learning and Data Mining (Session 2)', ': Thu 02 Aug 2018', 'Thu 01 Nov 2018', ': 17:00', ': 17:00', 'Weekly']
['ENGG1802 - Engineering Mechanics (Session 2)', ': Fri 24 Aug 2018', 'Fri 24 Aug 2018', ': 16:00', ': 16:00', 'Once Only']
['FINC6016 - Financial Instruments and Markets (Session 2)', ': Fri 31 Aug 2018', 'Fri 31 Aug 2018', ': 17:00', ': 17:00', 'Once Only']
['FINC2011 - Corporate Finance I (Session 2)', ': Fri 07 Sep 2018', 'Fri 07 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['ACCT1006 - Accounting and Financial Management (Session 2)', ': Fri 14 Sep 2018', 'Fri 14 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['MKTG1001 - Marketing Principles (Session 2)', ': Fri 21 Sep 2018', 'Fri 21 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['CLAW6031 - International Financial Crime (Session 2)', ': Sat 08 Sep 2018', 'Sat 08 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['CLAW5001 - Legal Environment of Business (Session 2)', ': Sat 15 Sep 2018', 'Sat 15 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['QBUS2810 - Statistical Modelling for Business (Session 2)', ': Sat 22 Sep 2018', 'Sat 22 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['CLAW6002 - Corporate Structures in Practice (Session 2)', ': Sun 09 Sep 2018', 'Sun 09 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['FINC6010 - Derivative Securities (Session 2)', ': Sun 16 Sep 2018', 'Sun 16 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['BANK3011 - Bank Financial Management (Session 2)', ': Sun 23 Sep 2018', 'Sun 23 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['BUSS6000 - Succeeding in Business (Session 2)', ': Mon 30 Jul 2018', 'Mon 29 Oct 2018', ': 18:00', ': 18:00', 'Weekly']
['FINC6015 - Trading in Securities Markets (Session 2)', ': Tue 11 Sep 2018', 'Tue 11 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['INFS5002 - Digital Business Foundations (Session 2)', ': Tue 18 Sep 2018', 'Tue 18 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['QBUS5001 - Quantitative Methods for Business (Session 2)', ': Tue 02 Oct 2018', 'Tue 02 Oct 2018', ': 16:30', ': 16:30', 'Once Only']
['BUSS6000 - Succeeding in Business (Session 2)', ': Wed 01 Aug 2018', 'Wed 31 Oct 2018', ': 18:00', ': 18:00', 'Weekly']
['FINC6016 - Financial Instruments and Markets (Session 2)', ': Fri 31 Aug 2018', 'Fri 31 Aug 2018', ': 17:00', ': 17:00', 'Once Only']
['FINC2011 - Corporate Finance I (Session 2)', ': Fri 07 Sep 2018', 'Fri 07 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['ACCT1006 - Accounting and Financial Management (Session 2)', ': Fri 14 Sep 2018', 'Fri 14 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
